"Miles_per_Gallon","Cylinders","Origin","Weight_in_lbs","Displacement","Acceleration","Name","Year","Horsepower"
18.0,8,"USA",3504,307.0,12.0,"chevrolet chevelle malibu","1970-01-01",130
15.0,8,"USA",3693,350.0,11.5,"buick skylark 320","1970-01-01",165
18.0,8,"USA",3436,318.0,11.0,"plymouth satellite","1970-01-01",150
16.0,8,"USA",3433,304.0,12.0,"amc rebel sst","1970-01-01",150
17.0,8,"USA",3449,302.0,10.5,"ford torino","1970-01-01",140
15.0,8,"USA",4341,429.0,10.0,"ford galaxie 500","1970-01-01",198
14.0,8,"USA",4354,454.0,9.0,"chevrolet impala","1970-01-01",220
14.0,8,"USA",4312,440.0,8.5,"plymouth fury iii","1970-01-01",215
14.0,8,"USA",4425,455.0,10.0,"pontiac catalina","1970-01-01",225
15.0,8,"USA",3850,390.0,8.5,"amc ambassador dpl","1970-01-01",190
NA,8,"USA",4142,350.0,11.5,"chevrolet chevelle concours (sw)","1970-01-01",165
NA,8,"USA",4034,351.0,11.0,"ford torino (sw)","1970-01-01",153
NA,8,"USA",4166,383.0,10.5,"plymouth satellite (sw)","1970-01-01",175
NA,8,"USA",3850,360.0,11.0,"amc rebel sst (sw)","1970-01-01",175
15.0,8,"USA",3563,383.0,10.0,"dodge challenger se","1970-01-01",170
14.0,8,"USA",3609,340.0,8.0,"plymouth 'cuda 340","1970-01-01",160
NA,8,"USA",3353,302.0,8.0,"ford mustang boss 302","1970-01-01",140
15.0,8,"USA",3761,400.0,9.5,"chevrolet monte carlo","1970-01-01",150
14.0,8,"USA",3086,455.0,10.0,"buick estate wagon (sw)","1970-01-01",225
22.0,6,"USA",2833,198.0,15.5,"plymouth duster","1970-01-01",95
18.0,6,"USA",2774,199.0,15.5,"amc hornet","1970-01-01",97
21.0,6,"USA",2587,200.0,16.0,"ford maverick","1970-01-01",85
21.0,6,"USA",2648,199.0,15.0,"amc gremlin","1970-01-01",90
10.0,8,"USA",4615,360.0,14.0,"ford f250","1970-01-01",215
10.0,8,"USA",4376,307.0,15.0,"chevy c20","1970-01-01",200
11.0,8,"USA",4382,318.0,13.5,"dodge d200","1970-01-01",210
9.0,8,"USA",4732,304.0,18.5,"hi 1200d","1970-01-01",193
28.0,4,"USA",2264,140.0,15.5,"chevrolet vega 2300","1971-01-01",90
25.0,4,"USA",2046,98.0,19.0,"ford pinto","1971-01-01",NA
19.0,6,"USA",2634,232.0,13.0,"amc gremlin","1971-01-01",100
16.0,6,"USA",3439,225.0,15.5,"plymouth satellite custom","1971-01-01",105
17.0,6,"USA",3329,250.0,15.5,"chevrolet chevelle malibu","1971-01-01",100
19.0,6,"USA",3302,250.0,15.5,"ford torino 500","1971-01-01",88
18.0,6,"USA",3288,232.0,15.5,"amc matador","1971-01-01",100
14.0,8,"USA",4209,350.0,12.0,"chevrolet impala","1971-01-01",165
14.0,8,"USA",4464,400.0,11.5,"pontiac catalina brougham","1971-01-01",175
14.0,8,"USA",4154,351.0,13.5,"ford galaxie 500","1971-01-01",153
14.0,8,"USA",4096,318.0,13.0,"plymouth fury iii","1971-01-01",150
12.0,8,"USA",4955,383.0,11.5,"dodge monaco (sw)","1971-01-01",180
13.0,8,"USA",4746,400.0,12.0,"ford country squire (sw)","1971-01-01",170
13.0,8,"USA",5140,400.0,12.0,"pontiac safari (sw)","1971-01-01",175
18.0,6,"USA",2962,258.0,13.5,"amc hornet sportabout (sw)","1971-01-01",110
22.0,4,"USA",2408,140.0,19.0,"chevrolet vega (sw)","1971-01-01",72
19.0,6,"USA",3282,250.0,15.0,"pontiac firebird","1971-01-01",100
18.0,6,"USA",3139,250.0,14.5,"ford mustang","1971-01-01",88
23.0,4,"USA",2220,122.0,14.0,"mercury capri 2000","1971-01-01",86
26.0,4,"USA",1955,91.0,20.5,"plymouth cricket","1971-01-01",70
25.0,4,"USA",2126,97.5,17.0,"dodge colt hardtop","1972-01-01",80
20.0,4,"USA",2408,140.0,19.5,"chevrolet vega","1972-01-01",90
21.0,4,"USA",2226,122.0,16.5,"ford pinto runabout","1972-01-01",86
13.0,8,"USA",4274,350.0,12.0,"chevrolet impala","1972-01-01",165
14.0,8,"USA",4385,400.0,12.0,"pontiac catalina","1972-01-01",175
15.0,8,"USA",4135,318.0,13.5,"plymouth fury iii","1972-01-01",150
14.0,8,"USA",4129,351.0,13.0,"ford galaxie 500","1972-01-01",153
17.0,8,"USA",3672,304.0,11.5,"amc ambassador sst","1972-01-01",150
11.0,8,"USA",4633,429.0,11.0,"mercury marquis","1972-01-01",208
13.0,8,"USA",4502,350.0,13.5,"buick lesabre custom","1972-01-01",155
12.0,8,"USA",4456,350.0,13.5,"oldsmobile delta 88 royale","1972-01-01",160
13.0,8,"USA",4422,400.0,12.5,"chrysler newport royal","1972-01-01",190
15.0,8,"USA",3892,304.0,12.5,"amc matador (sw)","1972-01-01",150
13.0,8,"USA",4098,307.0,14.0,"chevrolet chevelle concours (sw)","1972-01-01",130
13.0,8,"USA",4294,302.0,16.0,"ford gran torino (sw)","1972-01-01",140
14.0,8,"USA",4077,318.0,14.0,"plymouth satellite custom (sw)","1972-01-01",150
22.0,4,"USA",2395,122.0,16.0,"ford pinto (sw)","1972-01-01",86
28.0,4,"USA",2164,98.0,15.0,"dodge colt (sw)","1972-01-01",80
13.0,8,"USA",4100,350.0,13.0,"buick century 350","1973-01-01",175
14.0,8,"USA",3672,304.0,11.5,"amc matador","1973-01-01",150
13.0,8,"USA",3988,350.0,13.0,"chevrolet malibu","1973-01-01",145
14.0,8,"USA",4042,302.0,14.5,"ford gran torino","1973-01-01",137
15.0,8,"USA",3777,318.0,12.5,"dodge coronet custom","1973-01-01",150
12.0,8,"USA",4952,429.0,11.5,"mercury marquis brougham","1973-01-01",198
13.0,8,"USA",4464,400.0,12.0,"chevrolet caprice classic","1973-01-01",150
13.0,8,"USA",4363,351.0,13.0,"ford ltd","1973-01-01",158
14.0,8,"USA",4237,318.0,14.5,"plymouth fury gran sedan","1973-01-01",150
13.0,8,"USA",4735,440.0,11.0,"chrysler new yorker brougham","1973-01-01",215
12.0,8,"USA",4951,455.0,11.0,"buick electra 225 custom","1973-01-01",225
13.0,8,"USA",3821,360.0,11.0,"amc ambassador brougham","1973-01-01",175
18.0,6,"USA",3121,225.0,16.5,"plymouth valiant","1973-01-01",105
16.0,6,"USA",3278,250.0,18.0,"chevrolet nova custom","1973-01-01",100
18.0,6,"USA",2945,232.0,16.0,"amc hornet","1973-01-01",100
18.0,6,"USA",3021,250.0,16.5,"ford maverick","1973-01-01",88
23.0,6,"USA",2904,198.0,16.0,"plymouth duster","1973-01-01",95
11.0,8,"USA",4997,400.0,14.0,"chevrolet impala","1973-01-01",150
12.0,8,"USA",4906,400.0,12.5,"ford country","1973-01-01",167
13.0,8,"USA",4654,360.0,13.0,"plymouth custom suburb","1973-01-01",170
12.0,8,"USA",4499,350.0,12.5,"oldsmobile vista cruiser","1973-01-01",180
18.0,6,"USA",2789,232.0,15.0,"amc gremlin","1973-01-01",100
21.0,4,"USA",2401,140.0,19.5,"chevrolet vega","1973-01-01",72
19.0,4,"USA",2310,122.0,18.5,"ford pinto","1973-01-01",85
21.0,6,"USA",2472,155.0,14.0,"mercury capri v6","1973-01-01",107
15.0,8,"USA",4082,350.0,13.0,"chevrolet monte carlo s","1973-01-01",145
