date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,54.7071,55.1902,54.4994,54.6057,13428924,3357231,0.014492,0.027,54.7471,"Feb 18, 14",0
2014-02-19,54.5598,55.0236,54.0308,54.0791,9342232,2335558,-0.526587,-0.964,54.4454,"Feb 19, 14",-0.009643681886689522
2014-02-20,54.1467,54.3424,53.7675,53.9776,8810584,2202646,-0.101455,-0.188,53.9659,"Feb 20, 14",-0.011502462197169825
2014-02-21,54.0428,54.2699,53.8617,53.9535,9137596,2284399,-0.024153,-0.045,54.0362,"Feb 21, 14",-0.01194380806399333
2014-02-24,54.0428,54.9366,53.9788,54.6371,10879264,2719816,0.683597,1.267,54.6532,"Feb 24, 14",0.0005750315443259198
2014-02-25,54.6371,55.1781,54.4682,54.8593,11341748,2835437,0.22223,0.407,54.8924,"Feb 25, 14",0.004644203810224916
2014-02-26,54.8883,55.0501,54.4124,54.6177,10413568,2603392,-0.241554,-0.44,54.7047,"Feb 26, 14",0.00021975727808636197
2014-02-27,54.6371,55.026,54.4945,54.6588,8106904,2026726,0.041064,0.075,54.7118,"Feb 27, 14",0.0009724259555321256
2014-02-28,54.7047,55.0719,53.3109,54.5767,14006976,3501744,-0.082129,-0.15,54.6695,"Feb 28, 14",-0.0005310800887086214
2014-03-03,53.9245,54.1177,53.0428,53.4897,16422960,4105740,-1.087,-1.992,53.4801,"Mar 3, 14",-0.020437426862030882
2014-03-04,54.3858,54.5839,53.7651,54.4704,14939076,3734769,0.980708,1.833,54.2817,"Mar 4, 14",-0.002477763310423653
2014-03-05,54.4994,54.5429,53.6974,53.8206,11329892,2832473,-0.649778,-1.193,53.9604,"Mar 5, 14",-0.014377619918799685
2014-03-06,54.0501,54.6081,53.9438,54.0742,9125960,2281490,0.253632,0.471,54.2811,"Mar 6, 14",-0.009733416108574767
2014-03-07,54.3375,54.5259,53.9969,54.4849,8971584,2242896,0.410642,0.759,54.3823,"Mar 7, 14",-0.0022122232660692124
2014-03-10,54.4728,54.6805,54.282,54.4704,7355232,1838808,-0.014496,-0.027,54.4688,"Mar 10, 14",-0.002477763310423653
2014-03-11,54.5791,55.1685,54.2602,54.8762,11065384,2766346,0.405813,0.745,54.8161,"Mar 11, 14",0.004953695310196526
2014-03-12,54.6202,54.997,54.4197,54.6153,9400596,2350149,-0.260882,-0.475,54.6447,"Mar 12, 14",0.00017580582246906355
2014-03-13,54.7506,54.9511,53.2457,53.3303,11996536,2999134,-1.2851,-2.353,51.1755,"Mar 13, 14",-0.023356536039277908
2014-03-14,53.2916,53.6059,52.794,53.3278,13696284,3424071,-0.002414,-0.005,53.3206,"Mar 14, 14",-0.023402318805545858
2014-03-17,53.6225,54.0791,53.4752,54.0549,8809800,2202450,0.727077,1.363,53.9084,"Mar 17, 14",-0.010086859064163546
2014-03-18,54.253,54.7772,53.9269,54.6902,8304828,2076207,0.635286,1.175,54.534,"Mar 18, 14",0.0015474574998580453
2014-03-19,54.7385,54.8545,53.625,54.0646,7888832,1972208,-0.625626,-1.144,53.8327,"Mar 19, 14",-0.009909221931043832
