date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,153.288,154.7365,152.989,153.8581,3425988,3425988,0.86904,0.568,154.0058,"Feb 18, 14",0
2014-02-19,153.1666,155.2878,152.2975,152.5592,3730651,3730651,-1.2989,-0.844,153.797,"Feb 19, 14",-0.008442194463599922
2014-02-20,152.7741,154.1571,152.0095,153.7179,2656478,2656478,1.1587,0.76,153.4608,"Feb 20, 14",-0.0009112292430494164
2014-02-21,153.531,154.7916,153.3908,153.7179,2601608,2601608,0,0,154.1072,"Feb 21, 14",-0.0009112292430494164
2014-02-24,153.3254,156.4372,153.3254,155.6242,3268511,3268511,1.9063,1.24,155.7019,"Feb 24, 14",0.011478758674388898
2014-02-25,155.2224,155.3999,152.4657,152.7648,3706698,3706698,-2.8594,-1.837,153.9888,"Feb 25, 14",-0.007105898227002668
2014-02-26,153.0741,153.6695,150.7395,152.6428,3987988,3987988,-0.121941,-0.08,151.9753,"Feb 26, 14",-0.0078988366553338
2014-02-27,152.5115,155.4463,152.2115,155.0618,3853776,3853776,2.419,1.585,154.3661,"Feb 27, 14",0.007823442509689109
2014-02-28,154.5274,157.3496,154.3024,156.0651,4291928,4291928,1.0032,0.647,156.0776,"Feb 28, 14",0.014344386158414758
2014-03-03,153.9742,154.9962,153.4492,154.4618,3122876,3122876,-1.6033,-1.027,153.6779,"Mar 3, 14",0.003923745321175833
2014-03-04,156.2432,158.231,155.8307,158.2028,3453120,3453120,3.7411,2.422,157.3455,"Mar 4, 14",0.028238357291556236
2014-03-05,158.2685,162.1127,157.7529,161.1751,4465314,4465314,2.9722,1.879,160.7262,"Mar 5, 14",0.0475568072139197
2014-03-06,161.9345,163.144,161.7282,161.8314,3408257,3408257,0.656323,0.407,162.3475,"Mar 6, 14",0.05182242598862195
2014-03-07,163.1253,164.6348,162.3096,163.3878,4095634,4095634,1.5564,0.962,163.3431,"Mar 7, 14",0.061938240495625456
2014-03-10,162.769,163.6028,161.7095,162.6846,2191673,2191673,-0.703209,-0.43,162.5213,"Mar 10, 14",0.057367795390687794
2014-03-11,163.1065,163.1065,159.253,159.2905,3837217,3837217,-3.3941,-2.086,160.5463,"Mar 11, 14",0.035307858344799534
2014-03-12,158.5779,159.3842,157.3402,159.1311,2565816,2565816,-0.159391,-0.1,158.5845,"Mar 12, 14",0.034271838791717794
2014-03-13,159.8437,160.5553,156.1776,156.2995,3421385,3421385,-2.8316,-1.779,151.436,"Mar 13, 14",0.015867867860060583
2014-03-14,156.487,156.9511,154.7337,155.0337,2762052,2762052,-1.2658,-0.81,155.4886,"Mar 14, 14",0.007640806691360434
2014-03-17,155.9995,158.2685,155.9526,156.4308,3207398,3207398,1.397,0.901,156.8993,"Mar 17, 14",0.016721251594813646
2014-03-18,156.8339,158.456,156.5901,157.6028,1941251,1941251,1.172,0.749,157.6882,"Mar 18, 14",0.02433866010304296
2014-03-19,157.9778,159.5436,156.3932,157.6872,3534103,3534103,0.084386,0.054,153.897,"Mar 19, 14",0.024887217507560424
2014-03-20,157.4059,159.8155,156.8339,158.6623,3950521,3950521,0.975111,0.618,158.6091,"Mar 20, 14",0.031224875388425957
2014-03-21,159.1029,159.3936,156.4964,156.5339,4795425,4795425,-2.1284,-1.341,153.5373,"Mar 21, 14",0.01739134956170641
2014-03-24,156.7027,157.4996,154.7993,155.3806,2722989,2722989,-1.1533,-0.737,155.7152,"Mar 24, 14",0.009895481615852396
2014-03-25,156.1964,156.9746,152.6428,153.0647,4437493,4437493,-2.3159,-1.49,153.9926,"Mar 25, 14",-0.005156699582277564
2014-03-26,154.4618,154.7056,151.6302,151.6396,2597634,2597634,-1.4252,-0.931,152.3336,"Mar 26, 14",-0.014419130354528008
2014-03-27,151.7052,153.121,150.7395,152.1646,3890239,3890239,0.525061,0.346,151.7482,"Mar 27, 14",-0.011006895314578824
2014-03-28,152.0896,153.9461,151.227,152.174,2630486,2630486,0.009381,0.006,152.6221,"Mar 28, 14",-0.010945800058625452
2014-03-31,153.0366,153.8992,152.099,153.6273,2494292,2494292,1.4533,0.955,153.3653,"Mar 31, 14",-0.0015000835185148933
2014-04-01,154.4805,155.9151,153.9742,155.5682,3325853,3325853,1.9409,1.263,155.1486,"Apr 1, 14",0.011114786936794246
2014-04-02,155.5494,157.0871,155.3853,156.8339,2407076,2407076,1.2658,0.814,156.5191,"Apr 2, 14",0.01934119815596314
2014-04-03,156.8714,157.209,154.7056,155.7275,2337292,2337292,-1.1064,-0.705,155.7159,"Apr 3, 14",0.012150156540344542
2014-04-04,156.5901,156.6183,152.6897,153.0554,3267440,3267440,-2.6722,-1.716,154.2664,"Apr 4, 14",-0.005217144888699494
2014-04-07,152.7835,153.0179,148.5501,148.6673,4650839,4650839,-4.388,-2.867,149.7543,"Apr 7, 14",-0.03373758027689147
2014-04-08,148.7986,148.8549,145.7795,146.7921,6844255,6844255,-1.8752,-1.261,146.9688,"Apr 8, 14",-0.04592543389005845
2014-04-09,147.3078,149.0799,146.6609,148.2923,4009981,4009981,1.5002,1.022,147.8657,"Apr 9, 14",-0.03617489101971229
2014-04-10,148.5267,148.9674,146.0889,146.2483,4806565,4806565,-2.044,-1.378,146.4171,"Apr 10, 14",-0.04945985944191438
2014-04-11,144.8138,144.8513,142.1885,143.1917,6461662,6461662,-3.0566,-2.09,143.5078,"Apr 11, 14",-0.06932621681926404
2014-04-14,145.1419,145.449,143.848,145.0857,3053683,3053683,1.894,1.323,144.6613,"Apr 14, 14",-0.05701617269419032
2014-04-15,145.3295,146.2858,143.5481,145.2545,3639593,3639593,0.168771,0.116,144.6941,"Apr 15, 14",-0.055919057885155214
2014-04-16,146.5859,147.4766,145.442,147.4109,3196346,3196346,2.1565,1.485,146.5163,"Apr 16, 14",-0.04190354618963844
2014-04-17,150.9832,151.3677,147.5328,147.6172,4526106,4526106,0.206277,0.14,148.7684,"Apr 17, 14",-0.04056270030632128
2014-04-21,147.6735,148.3954,146.4827,147.9548,4551711,4551711,0.337539,0.229,147.8385,"Apr 21, 14",-0.03836847068825106
2014-04-22,147.8047,150.777,147.4578,150.4488,4547285,4547285,2.494,1.686,149.8741,"Apr 22, 14",-0.02215872937466407
2014-04-23,150.2613,150.8989,149.3424,150.4394,2040561,2040561,-0.009375,-0.006,150.2446,"Apr 23, 14",-0.02221982463061744
